worry,great_deal,fair_amt,little,not_at_all,dk,rf
qual_env,33.98,34.4,21.64,9.74,0.24,0
avail_afford_energy,27.72,34.86,24.85,11.75,0.64,0.18
econ,53.02,30.13,12.73,4,0.13,0
unemployment,37.01,30.05,21.61,11.13,0.17,0.03
climate_change,24.58,29.62,23.84,21.59,0.14,0.23
income_wealth,45.88,22.89,15.64,14.79,0.63,0.17
