year,value
1990,1.298875
1991,1.09812
1992,1.0865
1993,1.0673
1994,1.0718
1995,1.1033
1996,1.1919
1997,1.1887
1998,1.0167
1999,1.116
2000,1.4623
2001,1.3838
2002,1.3127
2003,1.5158
2004,1.8116
2005,2.2396
2006,2.5331
2007,2.7671
2008,3.2129
2009,2.3145
2010,2.7423
2011,3.4845
2012,3.5522
2013,3.4429
2014,3.2988
2015,2.3744
