year,other,dk,rf,none,econ,jobs,fedbudg,taxes,foreign_trade,cost_living,recession,crime,poor_healthcare,drugs,poverty,eth_moral_rel_decline,aids,medicare_elderly,intlprobs,govt,foreignaid,race,immigration,welfare,environment,schoolshoot,abortion,socialsec,childrensbehave,lack_military_def,fuel,dishonesty,judicialsystem,natlsec,gap_richpoor,wage,war,breakdownfam_values,cancer_diseases,childabuse,tech,energy,guns,healthins_cost,overpop,lack_respect,poorleadership,lack_money,education,media
2000,122,42,0,11,37,22,12,27,1,10,0,126,45,54,60,72,3,8,23,89,0,33,8,12,23,5,8,23,26,10,42,5,13,5,13,1,6,6,8,22,1,7,3,2,41,20,4,8,23,15
2013,18,31,1,14,250,163,135,19,5,6,2,16,75,8,14,37,0,9,2,159,22,6,51,15,21,0,3,7,1,10,11,5,19,12,12,3,6,5,0,0,3,4,42,0,0,26,58,41,42,3
