year,is_occurring,not_occurring,unsure,dk,rf
2000,NA,NA,NA,NA,NA
2001,60.85,4.02,30.51,4.61,NA
2002,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA
2006,64.97,2.87,29.15,2.67,0.35
2007,NA,NA,NA,NA,NA
2008,64.57,6.88,25.98,2.11,0.47
2009,NA,NA,NA,NA,NA
2010,51.92,9.74,35.97,1.94,0.43
2011,55.45,8.34,32.51,2.39,1.31
2012,58.18,6.59,31.91,2.53,0.78
2013,61.74,6.25,27.64,2.86,1.51
2014,60.16,7.86,28.62,2.16,1.19
2015,61.84,7.73,27.45,2.55,0.43
