energy,more_emph,less_emp,same,dk,rf
coal,27.71,43.37,27.29,1.21,0.42
oil,41.24,30.23,27.05,0.9,0.58
natgas,54.6,11.6,32.07,1.62,0.12
wind,70.34,14.01,14.39,0.82,0.44
solar,78.69,8.64,12.06,0.32,0.29
nuclear,34.6,33.47,27.61,3.81,0.52
