year,yes,no,dk,rf
2000,NA,NA,NA,NA
2001,31.3,65.69,3.01,NA
2002,32.6,64.89,2.51,0
2003,NA,NA,NA,NA
2004,NA,NA,NA,NA
2005,NA,NA,NA,NA
2006,35.34,62.34,2.15,0.17
2007,NA,NA,NA,NA
2008,40.25,57.92,1.83,0
2009,37.68,60.42,1.9,0
2010,31.57,66.64,1.53,0.26
2011,NA,NA,NA,NA
2012,37.85,60.82,1.1,0.24
2013,34.12,64.42,1.35,0.1
2014,35.92,63.51,0.22,0.35
2015,36.57,61.63,1.26,0.54
