year,too_much,too_little,right_amt,dk,rf
2000,9.58,58.27,30.16,1.54,0.45
2001,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA
2003,7.5,51.32,36.5,4.25,0.43
2004,4.56,54.56,38.59,2.28,0
2005,5.13,57.98,34.42,1.95,0.52
2006,4.16,61.55,33.23,0.64,0.42
2007,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA
2010,14.99,46.33,34.84,2.79,1.04
2011,16.22,48.69,33.04,1.65,0.4
2012,16.92,50.76,29.92,1.69,0.71
2013,16.08,47.18,34.57,1.8,0.37
2014,16.75,48.02,34.18,0.85,0.2
2015,16.21,48.1,34.48,1.11,0.11
